"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPAC17H9.11",0,1953.12745307326,0.0434419007523838,794.198383127702,4415.04233470628,4,"","",0
"SPAC23E2.01",0,1079.72936376844,0.00216972514667298,479.142902625535,2195.65527915088,4,"","",0
"SPAC8E11.07c",0,727.444695933646,0.00283668574974398,309.607147815756,1551.72668082291,4,"","",0
"SPAC227.17c",0,352.768444819046,0.00431038010972224,157.21448900541,714.239320474316,4,"","",0
"SPBC23G7.13c",0,462.03170762752,0.0119661232818754,191.552668763091,1021.58327208646,4,"","",0
"SPBC23G7.06c",0,599.23976154407,0.0093195800847651,268.755016984677,1201.3589902915,4,"","",0
"SPBC691.04",0,921.727486023066,0.000222608205387082,449.093395525065,1712.4443064423,4,"","",0
"SPCC794.08",0,895.608667026698,0.0180784793574915,388.565731910997,1868.4747572667,4,"","",0
"SPAC4F10.20",0,3671.45543380419,0.0393157553302479,1579.41276708081,7736.37508640778,4,"","",0
"SPBC119.06",0,574.761854037803,0.0155190601574461,241.975586844747,1241.54683057574,4,"","",0
"SPBC18E5.07",0,1830.75314508013,0.0633720591112193,758.357764301012,4035.27056392192,4,"","",0
"SPBC405.04c",0,1139.64908018248,0.0457569891002825,462.416060487325,2599.27999936081,4,"","",0
"SPBC776.15c",0,323.877285611919,0.0123609670462219,137.538314196908,694.729078362417,4,"","",0
"SPAC22F3.10c",0,810.489440216744,0.0673897316356306,335.32485606,1793.28892260343,4,"","",0
"SPBC1711.13",0,791.156060639742,0.0197841270384924,329.353681773705,1737.10928113109,4,"","",0
"SPBC29A3.01",0,649.195671304002,0.0428088429241253,264.185790797329,1466.28164633775,4,"","",0
"SPCC162.12",0,3251.27745805312,0.00222337506522265,1441.8292338886,6615.16844195409,4,"","",0
"SPAC26F1.10c",0,597.938730304692,0.0189514993917299,248.97983913445,1310.27686699198,4,"","",0
"SPCC1753.02c",0,1262.59443525101,0.0233776879387896,538.992999030313,2683.4959867763,4,"","",0
"SPAC227.04",0,1262.59443525101,0.0233776879387896,538.992999030313,2683.4959867763,4,"","",0
"SPBC17G9.10",0,1347.45246519886,0.00389573216264689,563.10710357609,2948.66797648759,4,"","",0
"SPAC1556.02c",0,141.928112756079,0.00201205522190931,64.5802830916307,280.513502112447,4,"","",0
