"row","col","size","circularity","flags","present"
1,1,451,0.9329,"",1
1,2,408,0.9378,"",1
1,3,310,0.8587,"",1
1,4,339,0.8709,"",1
1,5,318,0.9597,"",1
1,6,327,0.952,"",1
1,7,305,0.9697,"",1
1,8,350,0.8991,"",1
1,9,282,0.9309,"",1
1,10,362,0.9299,"",1
1,11,252,0.7805,"",1
1,12,291,0.8323,"",1
1,13,317,0.8282,"",1
1,14,272,0.9152,"",1
1,15,0,NA,"",0
1,16,0,NA,"",0
1,17,0,NA,"",0
1,18,0,NA,"",0
1,19,0,NA,"",0
1,20,0,NA,"",0
1,21,0,NA,"",0
1,22,0,NA,"",0
1,23,0,NA,"",0
1,24,0,NA,"",0
2,1,405,0.9309,"",1
2,2,340,0.9899,"",1
2,3,299,1.0141,"",1
2,4,299,0.9092,"",1
2,5,271,0.9826,"",1
2,6,286,0.8926,"",1
2,7,261,0.9935,"",1
2,8,302,0.9528,"",1
2,9,282,0.9135,"",1
2,10,307,0.9792,"",1
2,11,277,0.8903,"",1
2,12,306,0.9405,"",1
2,13,279,0.9283,"",1
2,14,335,0.8965,"",1
2,15,0,NA,"",0
2,16,332,0.8529,"",1
2,17,0,NA,"",0
2,18,0,NA,"",0
2,19,0,NA,"",0
2,20,0,NA,"",0
2,21,0,NA,"",0
2,22,0,NA,"",0
2,23,0,NA,"",0
2,24,0,NA,"",0
3,1,327,0.945,"",1
3,2,283,0.9979,"",1
3,3,250,0.9437,"",1
3,4,226,0.9638,"",1
3,5,230,0.8755,"",1
3,6,218,0.9711,"",1
3,7,222,0.9266,"",1
3,8,209,0.9483,"",1
3,9,222,0.9467,"",1
3,10,190,0.9535,"",1
3,11,0,NA,"",0
3,12,188,0.9217,"",1
3,13,113,0.9468,"S",1
3,14,207,1.0149,"",1
3,15,143,0.844,"S",1
3,16,0,NA,"",0
3,17,0,NA,"",0
3,18,0,NA,"",0
3,19,0,NA,"",0
3,20,0,NA,"",0
3,21,0,NA,"",0
3,22,0,NA,"",0
3,23,0,NA,"",0
3,24,0,NA,"",0
4,1,342,0.9217,"",1
4,2,299,0.9611,"",1
4,3,267,1.0078,"",1
4,4,272,0.9782,"",1
4,5,234,0.9979,"",1
4,6,257,0.9507,"",1
4,7,227,0.9767,"",1
4,8,254,0.9669,"",1
4,9,232,0.948,"",1
4,10,276,0.9845,"",1
4,11,215,0.9541,"",1
4,12,253,0.9098,"",1
4,13,250,0.9248,"",1
4,14,0,NA,"",0
4,15,210,1.0296,"",1
4,16,274,0.8644,"",1
4,17,0,NA,"",0
4,18,0,NA,"",0
4,19,0,NA,"",0
4,20,0,NA,"",0
4,21,0,NA,"",0
4,22,0,NA,"",0
4,23,0,NA,"",0
4,24,0,NA,"",0
5,1,379,0.9418,"",1
5,2,328,0.9722,"",1
5,3,251,0.9753,"",1
5,4,254,0.9869,"",1
5,5,260,0.9168,"",1
5,6,292,0.9639,"",1
5,7,209,0.9608,"",1
5,8,241,0.8739,"",1
5,9,235,0.8946,"",1
5,10,240,0.8878,"",1
5,11,172,0.9141,"",1
5,12,296,0.7921,"",1
5,13,169,0.9768,"",1
5,14,197,0.9982,"",1
5,15,0,NA,"",0
5,16,0,NA,"",0
5,17,0,NA,"",0
5,18,315,0.9337,"",1
5,19,0,NA,"",0
5,20,0,NA,"",0
5,21,0,NA,"",0
5,22,0,NA,"",0
5,23,0,NA,"",0
5,24,0,NA,"",0
6,1,432,0.927,"",1
6,2,380,0.9762,"",1
6,3,314,0.9377,"",1
6,4,315,0.9756,"",1
6,5,302,0.9282,"",1
6,6,336,0.971,"",1
6,7,274,0.8332,"",1
6,8,344,0.2658,"C",1
6,9,361,0.2402,"C",1
6,10,309,0.8621,"",1
6,11,258,0.9097,"",1
6,12,311,0.883,"",1
6,13,120,0.8491,"S",1
6,14,0,NA,"",0
6,15,0,NA,"",0
6,16,263,0.9729,"",1
6,17,0,NA,"",0
6,18,0,NA,"",0
6,19,0,NA,"",0
6,20,0,NA,"",0
6,21,0,NA,"",0
6,22,0,NA,"",0
6,23,0,NA,"",0
6,24,0,NA,"",0
7,1,153,0.7262,"",1
7,2,69,0.5362,"C",1
7,3,22,0.6086,"",1
7,4,72,0.345,"C",1
7,5,33,0.8458,"",1
7,6,78,0.4795,"C",1
7,7,39,1.2376,"",1
7,8,0,NA,"",0
7,9,0,NA,"",0
7,10,0,NA,"",0
7,11,0,NA,"",0
7,12,0,NA,"",0
7,13,0,NA,"",0
7,14,0,NA,"",0
7,15,0,NA,"",0
7,16,0,NA,"",0
7,17,0,NA,"",0
7,18,0,NA,"",0
7,19,0,NA,"",0
7,20,0,NA,"",0
7,21,0,NA,"",0
7,22,0,NA,"",0
7,23,0,NA,"",0
7,24,0,NA,"",0
8,1,194,0.8347,"",1
8,2,151,0.9383,"",1
8,3,104,0.6011,"",1
8,4,35,1.2093,"",1
8,5,2,25.1327,"",0
8,6,62,0.9838,"",1
8,7,106,0.841,"S",1
8,8,68,0.9944,"",1
8,9,117,0.9681,"S",1
8,10,0,NA,"",0
8,11,0,NA,"",0
8,12,0,NA,"",0
8,13,0,NA,"",0
8,14,0,NA,"",0
8,15,0,NA,"",0
8,16,0,NA,"",0
8,17,0,NA,"",0
8,18,0,NA,"",0
8,19,0,NA,"",0
8,20,0,NA,"",0
8,21,0,NA,"",0
8,22,0,NA,"",0
8,23,0,NA,"",0
8,24,0,NA,"",0
9,1,411,0.9598,"",1
9,2,375,0.9866,"",1
9,3,291,1.0062,"",1
9,4,312,0.9843,"",1
9,5,288,0.9329,"",1
9,6,314,0.9307,"",1
9,7,296,0.8933,"",1
9,8,324,0.9532,"",1
9,9,296,0.9484,"",1
9,10,308,0.99,"",1
9,11,320,0.9086,"",1
9,12,353,0.898,"",1
9,13,206,0.8864,"",1
9,14,232,0.8482,"",1
9,15,171,1.0245,"",1
9,16,227,0.9619,"",1
9,17,213,0.9367,"",1
9,18,0,NA,"",0
9,19,0,NA,"",0
9,20,0,NA,"",0
9,21,0,NA,"",0
9,22,0,NA,"",0
9,23,0,NA,"",0
9,24,0,NA,"",0
10,1,427,0.9814,"",1
10,2,381,0.9787,"",1
10,3,316,0.9713,"",1
10,4,354,0.9248,"",1
10,5,321,0.9942,"",1
10,6,338,0.984,"",1
10,7,324,0.8975,"",1
10,8,361,0.9274,"",1
10,9,337,0.9018,"",1
10,10,362,0.9299,"",1
10,11,324,0.9105,"",1
10,12,341,0.9125,"",1
10,13,306,0.9098,"",1
10,14,361,0.9338,"",1
10,15,263,0.9536,"",1
10,16,240,0.8878,"",1
10,17,246,0.9176,"",1
10,18,319,0.9057,"",1
10,19,0,NA,"",0
10,20,0,NA,"",0
10,21,0,NA,"",0
10,22,0,NA,"",0
10,23,0,NA,"",0
10,24,0,NA,"",0
11,1,267,0.8649,"",1
11,2,222,0.7411,"",1
11,3,182,0.9222,"",1
11,4,0,NA,"",0
11,5,0,NA,"",0
11,6,122,1.0405,"",1
11,7,0,NA,"",0
11,8,0,NA,"",0
11,9,0,NA,"",0
11,10,0,NA,"",0
11,11,0,NA,"",0
11,12,0,NA,"",0
11,13,0,NA,"",0
11,14,0,NA,"",0
11,15,0,NA,"",0
11,16,0,NA,"",0
11,17,0,NA,"",0
11,18,0,NA,"",0
11,19,0,NA,"",0
11,20,0,NA,"",0
11,21,0,NA,"",0
11,22,0,NA,"",0
11,23,0,NA,"",0
11,24,0,NA,"",0
12,1,318,0.9095,"",1
12,2,295,0.829,"",1
12,3,224,0.7313,"S",1
12,4,285,0.8092,"",1
12,5,201,0.7228,"",1
12,6,318,0.7902,"",1
12,7,0,NA,"",0
12,8,0,NA,"",0
12,9,0,NA,"",0
12,10,363,0.8614,"",1
12,11,0,NA,"",0
12,12,0,NA,"",0
12,13,0,NA,"",0
12,14,0,NA,"",0
12,15,0,NA,"",0
12,16,0,NA,"",0
12,17,0,NA,"",0
12,18,0,NA,"",0
12,19,0,NA,"",0
12,20,0,NA,"",0
12,21,0,NA,"",0
12,22,0,NA,"",0
12,23,0,NA,"",0
12,24,0,NA,"",0
13,1,0,NA,"",0
13,2,0,NA,"",0
13,3,0,NA,"",0
13,4,0,NA,"",0
13,5,0,NA,"",0
13,6,0,NA,"",0
13,7,1,Inf,"",0
13,8,0,NA,"",0
13,9,0,NA,"",0
13,10,0,NA,"",0
13,11,0,NA,"",0
13,12,0,NA,"",0
13,13,0,NA,"",0
